Policy ID;Component;Centre;Platform;Component;Centre;Platform;Version;enabled;Policy Identifier (FileType);Regular Expression (regex);installation_node;src_user;src_host;src_path;src_Protocol;dst_user;dst_host;dst_path;dst_protocol;suffix/prefix
1;PM_Outbox;MARINE;REF;ADC;MARINE;OPE;01.00;YES;S3A_LTMVISC2ADC;^S3.*(SL_1_VSC_AX|SR_1_CA(1L|1S|2K|2C)AX|MW_1_(NIR|DNB|MON)_AX).*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refadps01-prd.eumetsat.int;/data/fromPM;FTP;.
2;EOPORTAL_MMDS;MARINE;VAL;USI;MARINE;VAL;01.00;YES;EOP_SUBS_USI;^eum_eop_S3_subscriptionInformation.*$;s3-refpwas02-prd.eumetsat.int;s3pdgs;VAEEFILV-EGI.eumetsat.int;/in/fromEOPortal;FTP;s3sysadm;s3-refusis01-prd.eumetsat.int;/data/usi-s3/subscr-inbox;FTP;.
3;USI_OUTBOX;MARINE;REF;MPMF;MARINE;SIM;01.00;YES;USI_TO_MPMF;^(MCS#DO#PDS|PDU_CONFIG|ruleconfig|eum_eop_S3_subscriptionInformation).*$;s3-refpwas02-prd.eumetsat.int;s3sysadm;s3-refusis01.eumetsat.int;/data/usi-s3/outbox;FS;ops3pdgs;s3-refsims02-prd.eumetsat.int;/data/fromUSI;FTP;.
4;PM_Outbox;MARINE;REF;DS_S3Reports;MARINE;REF;01.00;YES;S3A_DIS_REP;^S3__OPER_REP_DR_.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refstas01-prd.eumetsat.int;/data_STOR/DS/S3Reports;FTP;.
5;PM_Outbox;MARINE;REF;DS_S3Reports;MARINE;REF;01.00;YES;S3A_PROD_REP;^S3A_REP_PR_.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refstas01-prd.eumetsat.int;/data_STOR/DS/S3Reports;FTP;
6;DC;MARINE;REF;DS_S3Reports;MARINE;REF;01.00;YES;S3_DC_REPORTS;^S3__REP_DSDCS.*$;s3-refdbss01-prd.eumetsat.int;ops3pdgs;s3-refdbss01-prd.eumetsat.int;/data/DC/report;FS;ops3pdgs;s3-refstas01-prd.eumetsat.int;/data_STOR/DS/S3Reports;FTP;
7;PD;MARINE;REF;MPMF;MARINE;SIM;01.00;YES;DFEP_ACK_PD;^S3(A|B)_OPER_MPL_FACK.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-refsims02-prd.eumetsat.int;/data/fromDFEP;FTP;
8;MPF;MARINE;REF;DFEP3;CGS;SIM;01.00;YES;S3A_MPL_FSSGS;^S3A.*_MPL_FSSGS_.*$;s3-refpwas01-prd.eumetsat.int;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/outputs;FTP;dftp;s3-refsims02-prd.eumetsat.int;/schedules/S3_dfep3;FTP;.
9;PM_Outbox;MARINE;REF;DS_S3Reports;MARINE;REF;01.00;YES;S3A_PROD_REP_PM7;^S3A_REP_PR_.*$;s3-refpwas02-prd.eumetsat.int;s3sysadm;s3-refpwas02-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;dftp;dfep6-sgs-ctl-prod;/data_STOR/DS/S3Reports;FTP;
10;ADC ;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;S3A_NPPF;^S3A.*_OPER_MPL__NPPF.*$;s3-refadcs01-prd.eumetsat.int;ops3pdgs;s3-refadcs01-prd.eumetsat.int;/home/ops3pdgs/outputs;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromMP_test;FTP;
